Entity,Year,Book titles per capita (Fink-Jensen 2015)
Armenia,1937,418.5701743
Armenia,1938,478.1662131
Armenia,1939,530.203347
Armenia,1940,545.2498906
Armenia,1941,486.1737069
Armenia,1942,221.7070157
Armenia,1943,204.0959047
Armenia,1944,227.4365389
Armenia,1945,247.6091877
Armenia,1946,304.7365505
Armenia,1947,403.5821734
Armenia,1948,546.0079296
Armenia,1949,581.5538702
Armenia,1950,612.4245445
Armenia,1951,583.9997248
Armenia,1952,561.8604073
Armenia,1953,503.5111834
Armenia,1954,627.6284015
Armenia,1955,635.6491191
Armenia,1956,597.8509515
Armenia,1957,576.4160911
Armenia,1958,636.9996394
Armenia,1959,650.2026595
Armenia,1960,667.2545499
Armenia,1961,559.7286551
Armenia,1962,617.8828245
Armenia,1963,577.5511251
Armenia,1964,535.8464406
Armenia,1965,468.3038109
Armenia,1966,443.7710423
Armenia,1967,462.3485338
Armenia,1968,459.5484936
Armenia,1969,443.740198
Armenia,1970,421.8680859
Armenia,1971,429.5667419
Armenia,1972,446.159571
Armenia,1973,371.9134227
Armenia,1974,388.2531454
Armenia,1975,366.9548674
Armenia,1976,402.7373696
Armenia,1977,379.3689615
Armenia,1978,463.4971908
Armenia,1979,352.8192607
Armenia,1980,373.9620947
Armenia,1981,321.2155783
Armenia,1982,309.4425653
Armenia,1983,322.6148746
Armenia,1984,331.6885354
Armenia,1985,330.2177065
Armenia,1986,334.8940291
Armenia,1987,321.1432469
Armenia,1988,277.3342011
Armenia,1989,301.5641649
Armenia,1990,241.9462548
Australia,1937,62.27159772
Australia,1938,61.70336037
Australia,1939,61.11031416
Australia,1940,90.03124112
Australia,1941,89.15764309
Australia,1942,88.38700683
Australia,1943,87.61746821
Australia,1944,86.74237242
Australia,1945,113.2764921
Australia,1946,111.9882258
Australia,1947,110.4513064
Australia,1948,108.4899546
Australia,1949,105.6951635
Australia,1950,72.57476017
Australia,1951,69.32531196
Australia,1952,72.14183706
Australia,1953,58.25292698
Australia,1954,59.35558153
Australia,1955,59.50143617
Australia,1956,62.73284041
Australia,1958,62.63068861
Australia,1959,57.24590541
Australia,1960,90.62592984
Australia,1961,170.585124
Australia,1962,166.0959069
Australia,1963,152.1613041
Australia,1964,188.709452
Australia,1965,289.0015756
Australia,1966,235.4337588
Australia,1967,287.392531
Australia,1968,283.4321903
Australia,1969,318.1903074
Australia,1970,389.8055001
Australia,1971,357.418916
Australia,1972,271.6096228
Australia,1973,119.951571
Australia,1974,129.4938636
Australia,1975,127.8737093
Australia,1976,231.7559556
Australia,1977,218.6285446
Australia,1978,537.4563115
Australia,1979,581.8928158
Australia,1980,658.2557352
Australia,1981,455.1954466
Australia,1982,552.2358528
Australia,1983,214.6207975
Australia,1985,653.137942
Australia,1986,469.1823899
Australia,1987,679.370391
Australia,1989,642.8271686
Australia,1990,632.4015098
Australia,1994,609.3583038
Austria,1937,219.0027945
Austria,1945,411.6851062
Austria,1946,411.2268089
Austria,1947,410.8316173
Austria,1948,410.5081455
Austria,1949,409.7125122
Austria,1950,542.1219293
Austria,1951,613.4583612
Austria,1952,553.8183598
Austria,1953,696.8376581
Austria,1954,509.8273964
Austria,1955,420.9977102
Austria,1957,564.1676004
Austria,1958,441.6786191
Austria,1959,387.8271351
Austria,1960,463.7644104
Austria,1961,435.018959
Austria,1962,476.357176
Austria,1963,538.3654011
Austria,1964,476.3923973
Austria,1965,533.2110046
Austria,1966,588.3639482
Austria,1967,658.0107965
Austria,1968,682.5699472
Austria,1969,687.5930675
Austria,1970,632.2146488
Austria,1971,643.8900976
Austria,1972,670.5139313
Austria,1973,706.1813606
Austria,1974,728.6180825
Austria,1975,746.2038402
Austria,1976,838.746265
Austria,1977,899.4975513
Austria,1978,850.7920333
Austria,1979,894.9844061
Austria,1980,933.9730527
Austria,1981,814.6451541
Austria,1982,872.2052303
Austria,1984,1144.540174
Austria,1985,1056.505653
Austria,1986,1190.900326
Austria,1987,1107.18536
Austria,1988,1037.111214
Austria,1989,1172.508723
Austria,1990,774.6370606
Austria,1991,803.6662501
Austria,1992,614.5379263
Austria,1993,692.1070528
Austria,1994,980.2030163
Austria,1995,1007.270183
Austria,1996,985.4721153
Azerbaijan,1924,189.3695584
Azerbaijan,1925,242.7412871
Azerbaijan,1926,308.0556355
Azerbaijan,1927,329.8159422
Azerbaijan,1928,267.7961129
Azerbaijan,1929,294.5678675
Azerbaijan,1930,382.5299234
Azerbaijan,1931,401.401212
Azerbaijan,1932,380.6234297
Azerbaijan,1933,318.3590153
Azerbaijan,1934,382.6550518
Azerbaijan,1935,352.3797336
Azerbaijan,1936,353.0606257
Azerbaijan,1937,302.9560389
Azerbaijan,1938,321.4801822
Azerbaijan,1939,351.385797
Azerbaijan,1940,356.1251338
Azerbaijan,1941,292.1334557
Azerbaijan,1942,122.2081492
Azerbaijan,1943,102.8538221
Azerbaijan,1944,104.3738838
Azerbaijan,1945,102.9949403
Azerbaijan,1946,134.1266794
Azerbaijan,1947,192.9979706
Azerbaijan,1948,280.9899471
Azerbaijan,1949,319.5564528
Azerbaijan,1950,356.9779838
Azerbaijan,1951,303.7170152
Azerbaijan,1952,258.4946552
Azerbaijan,1953,240.2678844
Azerbaijan,1954,309.6896556
Azerbaijan,1955,288.1959177
Azerbaijan,1956,285.3616498
Azerbaijan,1957,309.9554691
Azerbaijan,1958,296.095125
Azerbaijan,1959,305.8336158
Azerbaijan,1960,341.8740883
Azerbaijan,1961,328.7465015
Azerbaijan,1962,372.1164284
Azerbaijan,1963,320.0676087
Azerbaijan,1964,349.6469559
Azerbaijan,1965,323.6287055
Azerbaijan,1966,330.3039519
Azerbaijan,1967,277.7959615
Azerbaijan,1968,255.802004
Azerbaijan,1969,212.4785594
Azerbaijan,1970,251.5006366
Azerbaijan,1971,240.17447
Azerbaijan,1972,227.1176215
Azerbaijan,1973,233.3671773
Azerbaijan,1974,232.8818034
Azerbaijan,1975,202.9452696
Azerbaijan,1976,218.141572
Azerbaijan,1977,217.1040628
Azerbaijan,1978,238.3725718
Azerbaijan,1979,213.9068382
Azerbaijan,1980,198.5952223
Azerbaijan,1981,201.737301
Azerbaijan,1982,203.1673699
Azerbaijan,1983,228.1200987
Azerbaijan,1984,209.3054752
Azerbaijan,1985,213.7184816
Azerbaijan,1986,206.5971487
Azerbaijan,1987,236.6897305
Azerbaijan,1988,193.3828933
Azerbaijan,1989,170.9623898
Azerbaijan,1990,110.5732871
Belarus,1924,89.81932359
Belarus,1925,114.4721668
Belarus,1926,144.5111413
Belarus,1927,153.9754163
Belarus,1928,124.4686732
Belarus,1929,138.4781343
Belarus,1930,250.1946058
Belarus,1931,270.1935255
Belarus,1932,263.6967297
Belarus,1933,227.0251125
Belarus,1934,217.8650803
Belarus,1935,181.2249514
Belarus,1936,173.7948027
Belarus,1937,142.3876245
Belarus,1938,143.8663885
Belarus,1939,147.1871347
Belarus,1940,138.6577428
Belarus,1941,113.597706
Belarus,1942,47.45309473
Belarus,1943,39.87271445
Belarus,1944,40.38633058
Belarus,1945,39.76648593
Belarus,1946,33.53986031
Belarus,1947,46.59234984
Belarus,1948,65.84721818
Belarus,1949,73.00157729
Belarus,1950,79.77047858
Belarus,1951,83.04877207
Belarus,1952,88.59157453
Belarus,1953,78.91145496
Belarus,1954,95.21024904
Belarus,1955,86.11199829
Belarus,1956,94.44060488
Belarus,1957,117.2809128
Belarus,1958,149.1990417
Belarus,1959,163.0901181
Belarus,1960,196.1332129
Belarus,1961,198.2331352
Belarus,1962,192.706029
Belarus,1963,191.4945832
Belarus,1964,228.8979013
Belarus,1965,224.7757074
Belarus,1966,200.2528408
Belarus,1967,203.7126459
Belarus,1968,217.2643731
Belarus,1969,224.4555751
Belarus,1970,240.827774
Belarus,1971,285.4507155
Belarus,1972,286.3949528
Belarus,1973,285.3905688
Belarus,1974,333.3938429
Belarus,1975,302.0239773
Belarus,1976,264.631158
Belarus,1977,246.3683143
Belarus,1978,274.991912
Belarus,1979,292.8554745
Belarus,1980,312.0169777
Belarus,1981,328.3309452
Belarus,1982,298.9125127
Belarus,1983,331.5329927
Belarus,1984,329.2226895
Belarus,1985,343.7275089
Belarus,1986,316.8002498
Belarus,1987,297.2038672
Belarus,1988,291.8338159
Belarus,1989,292.6134545
Belarus,1990,276.7529846
Belgium,1500,25.6
Belgium,1501,4.791256538
Belgium,1502,9.426764909
Belgium,1503,9.273548175
Belgium,1504,0
Belgium,1505,0
Belgium,1506,8.828678461
Belgium,1507,0
Belgium,1508,8.544019128
Belgium,1509,0
Belgium,1510,8.268537946
Belgium,1511,0
Belgium,1512,16.00387797
Belgium,1513,11.80782072
Belgium,1514,0
Belgium,1515,30.47228312
Belgium,1516,14.98850285
Belgium,1517,14.74488911
Belgium,1518,10.87892619
Belgium,1519,21.40421387
Belgium,1520,42.11264636
Belgium,1521,20.71408689
Belgium,1522,20.37741309
Belgium,1523,43.43345798
Belgium,1524,39.44078562
Belgium,1525,38.79973978
Belgium,1526,31.80759426
Belgium,1527,46.9359203
Belgium,1528,64.64227454
Belgium,1529,39.36624063
Belgium,1530,68.5159498
Belgium,1531,23.44429024
Belgium,1532,46.12648286
Belgium,1533,79.40935081
Belgium,1534,80.90863383
Belgium,1535,85.08280904
Belgium,1536,51.29995485
Belgium,1537,45.1539304
Belgium,1538,60.09768317
Belgium,1539,64.26184028
Belgium,1540,118.8486529
Belgium,1541,65.32935167
Belgium,1542,81.51293837
Belgium,1543,88.02155013
Belgium,1544,87.12288455
Belgium,1545,58.95876981
Belgium,1546,72.09293216
Belgium,1547,38.91801409
Belgium,1548,50.5745561
Belgium,1549,51.94569068
Belgium,1550,94.20827989
Belgium,1551,92.57874144
Belgium,1552,82.22316359
Belgium,1553,68.99975233
Belgium,1554,82.64887862
Belgium,1555,98.41905938
Belgium,1556,114.8538648
Belgium,1557,79.31391032
Belgium,1558,78.44971356
Belgium,1559,68.24905732
Belgium,1560,79.59837801
Belgium,1561,113.8116059
Belgium,1562,106.4593678
Belgium,1563,82.01695517
Belgium,1564,135.9713335
Belgium,1565,127.9071088
Belgium,1566,180.1623679
Belgium,1567,162.8419852
Belgium,1568,139.2236341
Belgium,1569,114.9853553
Belgium,1570,98.58053039
Belgium,1571,105.4296006
Belgium,1572,117.1644777
Belgium,1573,115.5504448
Belgium,1574,100.6603317
Belgium,1575,101.8724869
Belgium,1576,111.4377212
Belgium,1577,116.1012508
Belgium,1578,145.0356953
Belgium,1579,164.859417
Belgium,1580,131.3707233
Belgium,1581,140.1035745
Belgium,1582,143.2929093
Belgium,1583,118.2763734
Belgium,1584,113.9425221
Belgium,1585,92.49530661
Belgium,1586,85.48779756
Belgium,1587,94.20661287
Belgium,1588,100.8491416
Belgium,1589,82.3007984
Belgium,1590,63.14076132
Belgium,1591,72.51349384
Belgium,1592,75.08725353
Belgium,1593,81.70277332
Belgium,1594,76.16195075
Belgium,1595,92.84251354
Belgium,1596,100.731952
Belgium,1597,83.12006296
Belgium,1598,98.35800257
Belgium,1599,89.49635582
Belgium,1600,88.66666667
Belgium,1601,80.35581762
Belgium,1602,30.68585179
Belgium,1603,47.14995144
Belgium,1604,40.02732789
Belgium,1605,42.32886329
Belgium,1606,39.92725428
Belgium,1607,46.91448392
Belgium,1608,42.17022091
Belgium,1609,84.23494471
Belgium,1610,79.45571403
Belgium,1611,77.02231735
Belgium,1612,69.93270373
Belgium,1613,60.53253138
Belgium,1614,69.75786272
Belgium,1615,58.0588385
Belgium,1616,76.54180472
Belgium,1617,83.39570457
Belgium,1618,90.23233827
Belgium,1619,90.11947129
Belgium,1620,73.85168861
Belgium,1621,66.8443759
Belgium,1622,94.38590732
Belgium,1623,87.37019767
Belgium,1624,101.0389493
Belgium,1625,87.15176061
Belgium,1626,68.71795813
Belgium,1627,68.63200238
Belgium,1628,82.25538497
Belgium,1629,63.89638574
Belgium,1630,50.14150511
Belgium,1631,75.11817852
Belgium,1632,79.57113931
Belgium,1633,52.22419946
Belgium,1634,61.22998358
Belgium,1635,115.5119667
Belgium,1636,52.02847081
Belgium,1637,38.40772384
Belgium,1638,58.66774833
Belgium,1639,51.83347573
Belgium,1640,42.76539818
Belgium,1641,53.95188019
Belgium,1642,67.3554932
Belgium,1643,56.05936807
Belgium,1644,69.42666541
Belgium,1645,73.81336015
Belgium,1646,73.72103082
Belgium,1647,51.31705426
Belgium,1648,89.07970671
Belgium,1649,126.8590881
Belgium,1650,91.13538016
Belgium,1651,68.82104615
Belgium,1652,73.16947509
Belgium,1653,73.07795116
Belgium,1654,50.68509842
Belgium,1655,61.85051228
Belgium,1656,35.29894095
Belgium,1657,70.50957465
Belgium,1658,79.09829763
Belgium,1659,68.13537603
Belgium,1660,83.41631167
Belgium,1661,109.6210138
Belgium,1662,109.4838945
Belgium,1663,91.8514353
Belgium,1664,115.7627805
Belgium,1665,109.073565
Belgium,1666,80.61347653
Belgium,1667,97.92077995
Belgium,1668,86.93181857
Belgium,1669,119.381735
Belgium,1670,88.88233946
Belgium,1671,149.3953687
Belgium,1672,136.2338458
Belgium,1673,125.2647523
Belgium,1674,187.6620977
Belgium,1675,131.4145863
Belgium,1676,124.7952784
Belgium,1677,92.40490813
Belgium,1678,81.55800689
Belgium,1679,70.73809674
Belgium,1680,89.60438861
Belgium,1681,68.42302268
Belgium,1682,85.42179481
Belgium,1683,119.4409231
Belgium,1684,125.6821378
Belgium,1685,148.9278813
Belgium,1686,108.3688764
Belgium,1687,125.2110996
Belgium,1688,116.5762097
Belgium,1689,57.15673715
Belgium,1690,93.02780297
Belgium,1691,82.35332118
Belgium,1692,59.05150437
Belgium,1693,124.2743126
Belgium,1694,113.6003165
Belgium,1695,96.64959455
Belgium,1696,79.74110045
Belgium,1697,114.8147701
Belgium,1698,127.6854202
Belgium,1699,127.5257051
Belgium,1700,203.1117647
Belgium,1701,77.43631404
Belgium,1702,82.46740284
Belgium,1703,76.50565115
Belgium,1704,43.45401289
Belgium,1705,67.48765479
Belgium,1706,56.34794011
Belgium,1707,42.67299786
Belgium,1708,58.32171333
Belgium,1709,63.24020316
Belgium,1710,83.81204061
Belgium,1711,52.06679602
Belgium,1712,67.27886059
Belgium,1713,43.72487966
Belgium,1714,51.13098026
Belgium,1715,30.49367667
Belgium,1716,20.20658647
Belgium,1717,12.55299607
Belgium,1718,32.44106943
Belgium,1719,37.2063863
Belgium,1720,36.98212929
Belgium,1721,39.20983889
Belgium,1722,14.61506487
Belgium,1723,33.89627343
Belgium,1724,14.43941474
Belgium,1725,45.44921254
Belgium,1726,21.39881348
Belgium,1727,25.99646464
Belgium,1728,25.83977408
Belgium,1729,21.01420469
Belgium,1730,20.88754411
Belgium,1731,23.06849662
Belgium,1732,52.73774428
Belgium,1733,22.79124951
Belgium,1734,6.796163401
Belgium,1735,15.76213414
Belgium,1736,17.90529117
Belgium,1737,15.57269804
Belgium,1738,30.95767096
Belgium,1739,19.78140685
Belgium,1740,21.84686312
Belgium,1741,21.71518379
Belgium,1742,25.90115776
Belgium,1743,30.03588193
Belgium,1744,19.19239989
Belgium,1745,29.6748978
Belgium,1746,23.1754568
Belgium,1747,20.94160866
Belgium,1748,10.40769282
Belgium,1749,16.55193873
Belgium,1750,8.226086957
Belgium,1751,22.48487468
Belgium,1752,24.3814433
Belgium,1753,14.13748933
Belgium,1754,18.06876061
Belgium,1755,55.88185654
Belgium,1756,17.85654362
Belgium,1757,23.66972477
Belgium,1758,23.53233831
Belgium,1759,50.69249794
Belgium,1760,19.3852459
Belgium,1761,7.709861451
Belgium,1762,15.33225284
Belgium,1763,30.49153908
Belgium,1764,36.00560897
Belgium,1765,22.61354582
Belgium,1766,22.4881141
Belgium,1767,22.36406619
Belgium,1768,16.68103448
Belgium,1769,23.96336711
Belgium,1770,34.83333333
Belgium,1771,20.05782575
Belgium,1772,23.57745399
Belgium,1773,25.25553013
Belgium,1774,28.71016692
Belgium,1775,23.20377358
Belgium,1776,44.38813814
Belgium,1777,33.55862584
Belgium,1778,29.86998514
Belgium,1779,34.95934959
Belgium,1780,19.12867647
Belgium,1781,36.33138259
Belgium,1782,22.37627365
Belgium,1783,23.97538016
Belgium,1784,42.59726225
Belgium,1785,37.29749104
Belgium,1786,33.73751783
Belgium,1787,140.9936125
Belgium,1788,56.78672316
Belgium,1789,88.08503162
Belgium,1790,345.6538462
Belgium,1791,80.64370216
Belgium,1792,16.37811634
Belgium,1793,60.30668504
Belgium,1794,8.11042524
Belgium,1795,9.686006826
Belgium,1796,4.819972826
Belgium,1797,7.995267072
Belgium,1798,7.957604307
Belgium,1799,7.920294709
Belgium,1800,6.306666667
Belgium,1875,213.8412219
Belgium,1876,153.0402245
Belgium,1877,169.0767519
Belgium,1878,143.1459022
Belgium,1879,133.2847779
Belgium,1880,196.3544487
Belgium,1881,165.715305
Belgium,1882,167.1073506
Belgium,1883,240.2439024
Belgium,1884,258.6533494
Belgium,1885,281.6541865
Belgium,1886,261.530664
Belgium,1887,215.1962429
Belgium,1888,249.8751457
Belgium,1889,247.5623864
Belgium,1890,242.9461942
Belgium,1891,259.0850097
Belgium,1892,263.0396405
Belgium,1893,267.4603175
Belgium,1894,297.3312402
Belgium,1895,379.2514366
Belgium,1896,347.8595627
Belgium,1897,357.5137447
Belgium,1898,371.592974
Belgium,1899,369.1083759
Belgium,1900,434.4396488
Belgium,1901,413.3215704
Belgium,1902,385.4845719
Belgium,1903,403.3157067
Belgium,1904,407.1408411
Belgium,1905,378.2578397
Belgium,1906,377.2389088
Belgium,1907,372.3085309
Belgium,1908,368.2364053
Belgium,1909,361.4602835
Belgium,1910,387.9701254
Belgium,1911,396.4347479
Belgium,1912,422.2661397
Belgium,1913,403.6003131
Belgium,1914,307.2640166
Belgium,1915,180.4356231
Belgium,1916,163.8752899
Belgium,1917,157.7176866
Belgium,1918,145.8224543
Belgium,1919,211.719979
Belgium,1920,282.4417373
Belgium,1921,261.8603412
Belgium,1922,161.5374455
Belgium,1923,299.8035363
Belgium,1924,321.6556377
Belgium,1925,343.4888803
Belgium,1926,276.1346252
Belgium,1927,267.965587
Belgium,1928,310.8684739
Belgium,1929,338.0229084
Belgium,1930,444.7746409
Belgium,1931,529.4117647
Belgium,1932,558.2702174
Belgium,1933,518.2845341
Belgium,1934,517.7923021
Belgium,1935,522.0801158
Belgium,1936,561.5153337
Belgium,1937,688.9527918
Belgium,1938,671.9608311
Belgium,1939,623.8083889
Belgium,1940,385.3342919
Belgium,1941,641.3726438
Belgium,1942,558.1423548
Belgium,1943,482.2858529
Belgium,1944,487.2753588
Belgium,1945,548.0273414
Belgium,1946,628.062627
Belgium,1947,646.1538462
Belgium,1948,630.9454248
Belgium,1949,600.7661946
Belgium,1950,584.3019322
Belgium,1951,605.6425699
Belgium,1952,607.9901219
Belgium,1953,552.0699605
Belgium,1954,536.2054929
Belgium,1955,402.0984442
Belgium,1956,341.4447472
Belgium,1957,395.478485
Belgium,1958,423.0778705
Belgium,1959,442.4560529
Belgium,1960,509.063792
Belgium,1961,436.8413014
Belgium,1962,478.4995227
Belgium,1963,502.3106505
Belgium,1964,474.7517882
Belgium,1965,334.3529387
Belgium,1966,880.5401881
Belgium,1967,713.1271909
Belgium,1968,706.0626916
Belgium,1969,713.8473062
Belgium,1970,661.2504929
Belgium,1971,667.5626777
Belgium,1972,711.394465
Belgium,1973,645.3832252
Belgium,1974,534.716108
Belgium,1975,770.5108833
Belgium,1976,841.7082866
Belgium,1977,839.5609766
Belgium,1978,944.7897698
Belgium,1979,968.161672
Belgium,1980,1006.418329
Belgium,1981,980.1672689
Belgium,1982,857.8267125
Belgium,1983,885.5950777
Belgium,1984,917.4758759
Belgium,1985,909.0909091
Belgium,1986,879.6568578
Belgium,1987,921.5618731
Belgium,1988,947.0861999
Belgium,1989,966.1192125
Belgium,1990,989.4365809
Belgium,1991,983.4587221
Belgium,1992,1002.426729
Belgium,1993,994.6035001
Belgium,1994,1080.617696
Belgium,1995,1135.448432
Belgium,1996,1148.548561
Belgium,1997,1189.828768
Belgium,1998,1233.137223
Belgium,1999,1286.092585
Belgium,2000,1289.896019
Belgium,2001,1295.22112
Belgium,2002,1355.415115
Belgium,2003,1386.627049
Belgium,2004,1321.669426
Brazil,1951,67.60549202
Brazil,1952,56.6758818
Brazil,1953,51.48768783
Brazil,1954,56.51015393
Brazil,1955,54.79691906
Brazil,1956,73.07644871
Brazil,1957,71.07424519
Brazil,1958,72.71977419
Brazil,1959,76.70271402
Brazil,1960,74.99845526
Brazil,1961,52.97096408
Brazil,1963,65.54166206
Brazil,1964,61.67334551
Brazil,1969,68.64685714
Brazil,1971,87.30473719
Brazil,1972,88.82368103
Brazil,1973,96.10387101
Brazil,1975,112.9327051
Brazil,1976,179.4306605
Brazil,1978,154.4447004
Brazil,1982,148.6421552
Brazil,1984,157.2691705
Brazil,1985,154.1977843
Brazil,1992,176.611208
Brazil,1993,127.0629353
Brazil,1994,133.9858524
Brazil,1995,156.1659248
Brazil,1996,113.6941103
Bulgaria,1937,382.4071231
Bulgaria,1938,418.9518586
Bulgaria,1939,503.3262776
Bulgaria,1940,468.3468347
Bulgaria,1941,430.9754281
Bulgaria,1942,387.9781421
Bulgaria,1943,263.4739309
Bulgaria,1944,107.6252723
Bulgaria,1945,209.8818784
Bulgaria,1947,353.4824462
Bulgaria,1948,332.5385694
Bulgaria,1949,267.5469076
Bulgaria,1950,297.2208813
Bulgaria,1951,287.5368549
Bulgaria,1952,279.1790952
Bulgaria,1953,443.6367596
Bulgaria,1954,452.4941738
Bulgaria,1955,384.4307545
Bulgaria,1957,472.4715713
Bulgaria,1959,407.9367748
Bulgaria,1960,428.224208
Bulgaria,1961,467.8263624
Bulgaria,1963,466.3199286
Bulgaria,1964,421.888136
Bulgaria,1965,443.0950813
Bulgaria,1966,418.379287
Bulgaria,1967,451.7326003
Bulgaria,1968,427.6188488
Bulgaria,1969,420.6696283
Bulgaria,1970,447.4900625
Bulgaria,1971,490.6052262
Bulgaria,1972,463.8417947
Bulgaria,1973,459.6916111
Bulgaria,1974,445.1104394
Bulgaria,1975,420.7210808
Bulgaria,1976,435.520718
Bulgaria,1977,464.7027142
Bulgaria,1978,480.9570432
Bulgaria,1979,522.0397819
Bulgaria,1980,529.3136404
Bulgaria,1981,567.7922656
Bulgaria,1982,570.1691547
Bulgaria,1983,552.6198716
Bulgaria,1984,601.1242266
Bulgaria,1985,578.1805549
Bulgaria,1986,549.6290227
Bulgaria,1987,510.8138045
Bulgaria,1988,487.5292598
Bulgaria,1989,505.3361743
Bulgaria,1990,383.6282054
Bulgaria,1991,371.6214368
Bulgaria,1992,551.2498346
Bulgaria,1993,683.6161458
Bulgaria,1994,709.297544
Bulgaria,1995,654.084741
Bulgaria,1996,593.062686
Canada,1952,46.2612772
Canada,1953,53.74299192
Canada,1954,55.06437127
Canada,1955,68.16048192
Canada,1957,141.8564464
Canada,1958,88.01967976
Canada,1959,142.233391
Canada,1960,150.1634252
Canada,1961,172.3640442
Canada,1962,189.6149074
Canada,1963,140.878995
Canada,1964,152.1988703
Canada,1965,188.3802705
Canada,1966,186.8108051
Canada,1967,181.6542904
Canada,1968,166.8156514
Canada,1969,170.5980766
Canada,1970,158.942631
Canada,1971,190.9072749
Canada,1972,301.10615
Canada,1973,180.9880538
Canada,1974,298.7580165
Canada,1975,290.1866501
Canada,1976,265.376847
Canada,1977,331.0584794
Canada,1978,922.2717307
Canada,1979,897.6846302
Canada,1980,775.1298118
Canada,1993,767.0362311
Canada,1994,739.8656711
Canada,1995,603.9203799
Canada,1996,662.7589423
Chile,1957,105.9811084
Chile,1958,142.386551
Chile,1959,165.8143512
Chile,1960,200.1226311
Chile,1961,178.688266
Chile,1962,130.6326211
Chile,1964,189.3061133
Chile,1965,175.9117269
Chile,1966,170.1597775
Chile,1967,175.6424155
Chile,1968,171.2142736
Chile,1969,119.5766292
Chile,1970,146.2338174
Chile,1971,114.2521963
Chile,1972,102.5981515
Chile,1973,65.88097874
Chile,1974,78.99533808
Chile,1975,61.25907693
Chile,1976,50.70831561
Chile,1977,36.51014694
Chile,1978,40.14935933
Chile,1980,99.96648554
Chile,1981,81.36635921
Chile,1983,113.4609041
Chile,1984,139.1514991
Chile,1985,135.7308585
Chile,1986,122.2575646
Chile,1987,132.6915363
Chile,1988,145.121855
Chile,1989,182.1423035
Chile,1990,178.9930688
Chile,1991,147.2218062
Chile,1992,134.0798586
Chile,1995,173.7875695
Croatia,1990,535.2294311
Croatia,1993,466.7786876
Croatia,1994,592.0836356
Croatia,1995,645.3645943
Croatia,1996,384.8540444
Cyprus,1964,289.8550725
Cyprus,1965,140.4874746
Cyprus,1966,265.5462185
Cyprus,1967,345.3453453
Cyprus,1969,559.566787
Cyprus,1970,333.5502766
Cyprus,1971,690.5453372
Cyprus,1972,791.9527383
Cyprus,1973,763.5273702
Cyprus,1974,193.5383175
Cyprus,1975,610.974611
Cyprus,1976,760.1069161
Cyprus,1977,952.540107
Cyprus,1978,1753.74376
Cyprus,1979,2206.246901
Cyprus,1980,1860.883797
Cyprus,1985,126.6800556
Cyprus,1988,734.6996539
Cyprus,1989,836.1752361
Cyprus,1990,1015.632224
Cyprus,1991,1232.155364
Cyprus,1992,1272.471493
Cyprus,1993,1310.561288
Cyprus,1994,1431.024614
Cyprus,1995,1538.486718
Cyprus,1996,1259.055384
Denmark,1800,804
Denmark,1801,756
Denmark,1802,639
Denmark,1803,528
Denmark,1804,503
Denmark,1805,484
Denmark,1806,414.8491879
Denmark,1807,494.6635731
