Entity,Year,labour_force_dependency_ratio
Luxembourg,2035,98.0611962
Luxembourg,2040,108.1935205
Luxembourg,2045,109.241687
Luxembourg,2050,108.9180451
Luxembourg,2055,111.0376963
Luxembourg,2060,115.5276963
Montenegro,2015,100
Montenegro,2020,89.9634758
Montenegro,2025,85.2249959
Montenegro,2030,79.5918558
Montenegro,2035,75.7712371
Montenegro,2040,72.7391833
Montenegro,2045,70.8728318
Montenegro,2050,72.6235065
Montenegro,2055,73.9729454
Montenegro,2060,80.3013255
Netherlands,2015,100
Netherlands,2020,100.4139168
Netherlands,2025,104.4678733
Netherlands,2030,110.6833529
Netherlands,2035,116.7470832
Netherlands,2040,121.0078204
Netherlands,2045,121.6920584
Netherlands,2050,121.9494084
Netherlands,2055,122.8458475
Netherlands,2060,125.5192583
Poland,2015,100
Poland,2020,97.1355527
Poland,2025,99.8495905
Poland,2030,101.2901665
Poland,2035,102.9982502
Poland,2040,105.018333
Poland,2045,108.9234652
Poland,2050,114.8542798
Poland,2055,121.3379609
Poland,2060,125.6016655
Portugal,2015,100
Portugal,2020,98.3540577
Portugal,2025,100.3083001
Portugal,2030,104.2009513
Portugal,2035,111.4273788
Portugal,2040,121.1467375
Portugal,2045,130.3893644
Portugal,2050,135.2864521
Portugal,2055,138.8545951
Portugal,2060,139.2126051
Romania,2015,100
Romania,2020,99.4009221
Romania,2025,98.173249
Romania,2030,99.7709304
Romania,2035,103.8618134
Romania,2040,107.4735109
Romania,2045,111.6441888
Romania,2050,116.4345077
Romania,2055,119.9637144
Romania,2060,121.9577413
Slovakia,2015,100
Slovakia,2020,95.4673512
Slovakia,2025,97.6767219
Slovakia,2030,98.6174441
Slovakia,2035,101.758479
Slovakia,2040,106.6059185
Slovakia,2045,114.5599697
Slovakia,2050,123.0728388
Slovakia,2055,132.0072828
Slovakia,2060,136.3282597
Slovenia,2015,100
Slovenia,2020,102.5323182
Slovenia,2025,109.4386042
Slovenia,2030,116.0028456
Slovenia,2035,121.6862161
Slovenia,2040,127.1233399
Slovenia,2045,135.0649498
Slovenia,2050,138.6951829
Slovenia,2055,141.5318308
Slovenia,2060,139.275356
Spain,2015,100
Spain,2020,101.9703206
Spain,2025,106.1103934
Spain,2030,110.9586271
Spain,2035,120.1287983
Spain,2040,131.6986414
Spain,2045,145.6477623
Spain,2050,154.9201813
Spain,2055,159.0095443
Spain,2060,158.8439145
Sweden,2015,100
Sweden,2020,97.0423449
Sweden,2025,97.6642835
Sweden,2030,98.2175923
Sweden,2035,98.0014689
Sweden,2040,98.245907
Sweden,2045,98.2562717
Sweden,2050,99.8999398
Sweden,2055,102.4854213
Sweden,2060,105.4417844
United Kingdom,2015,100
United Kingdom,2020,101.0529472
United Kingdom,2025,104.7618798
United Kingdom,2030,107.5317898
United Kingdom,2035,109.0181295
United Kingdom,2040,110.1594549
United Kingdom,2045,111.5303351
United Kingdom,2050,113.6961647
United Kingdom,2055,115.9923572
United Kingdom,2060,118.1306754
